"Exercise_Activity" "Subject" "average" "standard deviation"
"LAYING" 1 -0.54113628456304 -0.594962023688481
"LAYING" 2 -0.614664853855482 -0.68225794015439
"LAYING" 3 -0.676294182751496 -0.717340920166385
"LAYING" 4 -0.702181990754511 -0.743837532235692
"LAYING" 5 -0.613038678464444 -0.680924151374929
"LAYING" 6 -0.541495681699655 -0.629183583689393
"LAYING" 7 -0.604904740867247 -0.646912164330427
"LAYING" 8 -0.575811025536463 -0.637769702203762
"LAYING" 9 -0.652479537117431 -0.673209092293899
"LAYING" 10 -0.606121633485034 -0.649132571508295
"LAYING" 11 -0.719783495577405 -0.731504012839828
"LAYING" 12 -0.657621462833687 -0.70443306246933
"LAYING" 13 -0.636394860920122 -0.682653584317785
"LAYING" 14 -0.554461866768365 -0.56308059336939
"LAYING" 15 -0.693284723284176 -0.708182217129791
"LAYING" 16 -0.773713332606899 -0.786081249360968
"LAYING" 17 -0.740665138874909 -0.753222883907143
"LAYING" 18 -0.779386620818681 -0.787757277682104
"LAYING" 19 -0.62203978482806 -0.679772203856929
"LAYING" 20 -0.592580767308237 -0.631889461522179
"LAYING" 21 -0.734992087637753 -0.762416227119713
"LAYING" 22 -0.692149579800935 -0.713726261188429
"LAYING" 23 -0.5509883454694 -0.628297670673157
"LAYING" 24 -0.721121363079958 -0.752627483558586
"LAYING" 25 -0.777397096010595 -0.74843358301467
"LAYING" 26 -0.732360568447747 -0.755077158502879
"LAYING" 27 -0.746253445274734 -0.768673203189324
"LAYING" 28 -0.711594001086475 -0.738397809200337
"LAYING" 29 -0.69780836845328 -0.698464912718576
"LAYING" 30 -0.663869107930261 -0.645212449963782
"SITTING" 1 -0.499468049578654 -0.531135670226613
"SITTING" 2 -0.574102359378946 -0.607068592713754
"SITTING" 3 -0.6285974409255 -0.653555885897419
"SITTING" 4 -0.629914855602086 -0.682257524723028
"SITTING" 5 -0.56207303478085 -0.606108809686821
"SITTING" 6 -0.526426600530677 -0.538965715708652
"SITTING" 7 -0.588923729340871 -0.565717725938091
"SITTING" 8 -0.533827614405302 -0.593962245870249
"SITTING" 9 -0.590668977445681 -0.632862786619528
"SITTING" 10 -0.552284127389985 -0.60265365995726
"SITTING" 11 -0.640031746341139 -0.690736538756013
"SITTING" 12 -0.608627629990937 -0.637276652435588
"SITTING" 13 -0.590207965470572 -0.630626326137474
"SITTING" 14 -0.54199877489824 -0.550354244133183
"SITTING" 15 -0.619357860918643 -0.650482632605171
"SITTING" 16 -0.706168233282277 -0.740541888139508
"SITTING" 17 -0.661933910879737 -0.708299316165272
"SITTING" 18 -0.717595660470958 -0.7577801979
"SITTING" 19 -0.576441089414903 -0.627343233485467
"SITTING" 20 -0.556309026333976 -0.599364661227689
"SITTING" 21 -0.689860419964257 -0.717170853511471
"SITTING" 22 -0.607541383033821 -0.656920571437539
"SITTING" 23 -0.56976861316009 -0.561153705490591
"SITTING" 24 -0.678135619971279 -0.704619292477375
"SITTING" 25 -0.695663522350408 -0.731282371638288
"SITTING" 26 -0.673466044844685 -0.697650143369439
"SITTING" 27 -0.692706900161525 -0.728735568870372
"SITTING" 28 -0.666913549441274 -0.695208215701361
"SITTING" 29 -0.626022191238929 -0.663815528711926
"SITTING" 30 -0.617477721019491 -0.663782476937424
"STANDING" 1 -0.577999266275603 -0.530357716379952
"STANDING" 2 -0.628755750607475 -0.591775754319158
"STANDING" 3 -0.672375258418717 -0.6354172798945
"STANDING" 4 -0.717919851732208 -0.656666452801451
"STANDING" 5 -0.630032847029395 -0.573115482115441
"STANDING" 6 -0.572568275339516 -0.557776340066404
"STANDING" 7 -0.6129236529768 -0.590060076047029
"STANDING" 8 -0.547867365138332 -0.537266965084401
"STANDING" 9 -0.656663718973802 -0.604476917758721
"STANDING" 10 -0.624638228611383 -0.598003414901434
"STANDING" 11 -0.700412982645778 -0.645676323216139
"STANDING" 12 -0.683086268609896 -0.640115594938776
"STANDING" 13 -0.651630982067941 -0.606463837382198
"STANDING" 14 -0.567354937608823 -0.536549063821744
"STANDING" 15 -0.6726270123489 -0.641461954918613
"STANDING" 16 -0.727988909589836 -0.696626825155856
"STANDING" 17 -0.710560743112668 -0.664928040534783
"STANDING" 18 -0.782089719110806 -0.726241260114469
"STANDING" 19 -0.598796759521449 -0.611686615973296
"STANDING" 20 -0.637563868648587 -0.592220899431864
"STANDING" 21 -0.702652346426266 -0.683085390959003
"STANDING" 22 -0.62555708642243 -0.61152654896186
"STANDING" 23 -0.591409418646729 -0.593775111155627
"STANDING" 24 -0.717953264423578 -0.684280217873937
"STANDING" 25 -0.734159202165852 -0.710745781174857
"STANDING" 26 -0.700547735820536 -0.682164431390689
"STANDING" 27 -0.717149199726906 -0.697033832022385
"STANDING" 28 -0.685154540985297 -0.686554956205925
"STANDING" 29 -0.665596709058382 -0.655283467584559
"STANDING" 30 -0.662213408014665 -0.638136156176571
"WALKING" 1 0.145604761277404 -0.664548092468861
"WALKING" 2 0.131014932131548 -0.748465636528073
"WALKING" 3 0.146488185925268 -0.733615440958886
"WALKING" 4 0.189194776898586 -0.755862447907483
"WALKING" 5 0.176776737750902 -0.692292488880728
"WALKING" 6 0.148539996135436 -0.691167071042283
"WALKING" 7 0.135401980074524 -0.698449213005877
"WALKING" 8 0.15120557825741 -0.666903679897153
"WALKING" 9 0.146097976417299 -0.709275799444278
"WALKING" 10 0.12863279163751 -0.714064549602823
"WALKING" 11 0.178665174267463 -0.735542677487595
"WALKING" 12 0.151808530762846 -0.746650420954375
"WALKING" 13 0.143553645251932 -0.716339980097462
"WALKING" 14 0.0920239917127296 -0.632713523629046
"WALKING" 15 0.163001351407846 -0.733806045507238
"WALKING" 16 0.139226135275087 -0.77156248413082
"WALKING" 17 0.135797760132192 -0.753325003665821
"WALKING" 18 0.157000028862606 -0.794602227624725
"WALKING" 19 0.156330472549482 -0.729684603315978
"WALKING" 20 0.140128460299586 -0.703935880801073
"WALKING" 21 0.125647735862982 -0.768489664761377
"WALKING" 22 0.171009760011883 -0.721639127625707
"WALKING" 23 0.145603652918562 -0.705988347435075
